split,dimension,cell,count,accuracy,macro_accuracy,coverage
other_variable,blocks,18,29,0.7931034482758621,0.8120589848717114,1.0
other_variable,blocks,19,25,0.76,0.8120589848717114,1.0
other_variable,blocks,20,28,0.7857142857142857,0.8120589848717114,1.0
other_variable,blocks,21,29,0.7931034482758621,0.8120589848717114,1.0
other_variable,blocks,22,26,0.8076923076923077,0.8120589848717114,1.0
other_variable,blocks,23,29,0.7931034482758621,0.8120589848717114,1.0
other_variable,blocks,24,46,0.8260869565217391,0.8120589848717114,1.0
other_variable,distance,0,0,,0.8113599242875242,0.6666666666666666
other_variable,distance,1-2,261,0.8697318007662835,0.8113599242875242,0.6666666666666666
other_variable,distance,3+,251,0.7529880478087649,0.8113599242875242,0.6666666666666666
other_variable,truth,00,60,0.7333333333333333,0.7974264705882352,1.0
other_variable,truth,01,51,0.7647058823529411,0.7974264705882352,1.0
other_variable,truth,10,50,0.9,0.7974264705882352,1.0
other_variable,truth,11,48,0.7916666666666666,0.7974264705882352,1.0
other_variable,truth_table,AND:00,16,0.9375,0.8153479672501412,1.0
other_variable,truth_table,AND:01,20,0.6,0.8153479672501412,1.0
other_variable,truth_table,AND:10,23,0.8695652173913043,0.8153479672501412,1.0
other_variable,truth_table,AND:11,21,0.7142857142857143,0.8153479672501412,1.0
other_variable,truth_table,OR:00,22,0.6363636363636364,0.8153479672501412,1.0
other_variable,truth_table,OR:01,16,0.9375,0.8153479672501412,1.0
other_variable,truth_table,OR:10,13,1.0,0.8153479672501412,1.0
other_variable,truth_table,OR:11,11,1.0,0.8153479672501412,1.0
other_variable,truth_table,XOR:00,22,0.6818181818181818,0.8153479672501412,1.0
other_variable,truth_table,XOR:01,15,0.8,0.8153479672501412,1.0
other_variable,truth_table,XOR:10,14,0.8571428571428571,0.8153479672501412,1.0
other_variable,truth_table,XOR:11,16,0.75,0.8153479672501412,1.0
repeated_update,operator,initialization,0,,0.7595522760708425,0.8333333333333334
repeated_update,operator,SET,128,0.921875,0.7595522760708425,0.8333333333333334
repeated_update,operator,NOT,137,0.6788321167883211,0.7595522760708425,0.8333333333333334
repeated_update,operator,AND,86,0.7209302325581395,0.7595522760708425,0.8333333333333334
repeated_update,operator,OR,75,0.8133333333333334,0.7595522760708425,0.8333333333333334
repeated_update,operator,XOR,86,0.6627906976744186,0.7595522760708425,0.8333333333333334
repeated_update,query_var,A,145,0.8275862068965517,0.7617704592006174,1.0
repeated_update,query_var,B,115,0.7739130434782608,0.7617704592006174,1.0
repeated_update,query_var,C,110,0.7272727272727273,0.7617704592006174,1.0
repeated_update,query_var,D,142,0.7183098591549296,0.7617704592006174,1.0
repeated_update,answer,0,281,0.6832740213523132,0.7723729414120873,1.0
repeated_update,answer,1,231,0.8614718614718615,0.7723729414120873,1.0
