update,tokens,current_ce,best_ce,general_accuracy,other_variable,repeated_update,first_read_after_set
434,3205157,0.6608537183993596,0.6608537183993596,0.5961326643005752,0.60546875,0.609375,0.5703125
447,3301439,0.6558861171742604,0.6558861171742604,0.605311467384653,0.6171875,0.58984375,0.560546875
461,3403890,0.654287344064295,0.654287344064295,0.6111859013584628,0.59375,0.58203125,0.591796875
474,3500059,0.6491102296651584,0.6491102296651584,0.6111859013584628,0.6171875,0.6171875,0.6015625
488,3602900,0.6472082354585189,0.6472082354585189,0.6158364949210623,0.61328125,0.578125,0.591796875
502,3705133,0.6376701007209505,0.6376701007209505,0.624770529922898,0.615234375,0.6171875,0.609375
515,3802786,0.6353180457707601,0.6353180457707601,0.6198751682780566,0.63671875,0.62890625,0.6328125
529,3907632,0.6415002973602745,0.6353180457707601,0.6154693427976992,0.595703125,0.646484375,0.650390625
542,4004245,0.6351187227747713,0.6351187227747713,0.6241586097172929,0.625,0.642578125,0.66015625
555,4100029,0.6315825224426973,0.6315825224426973,0.6241586097172929,0.6015625,0.650390625,0.673828125
569,4202837,0.6315115498810397,0.6315115498810397,0.6251376820462612,0.60546875,0.63671875,0.6796875
582,4300926,0.6382706213184909,0.6315115498810397,0.6270958267041977,0.60546875,0.623046875,0.65234375
596,4405440,0.631720611398164,0.6315115498810397,0.6208542406070249,0.587890625,0.638671875,0.69140625
610,4506470,0.6273878692669708,0.6273878692669708,0.6306449638967079,0.59765625,0.642578125,0.677734375
623,4601843,0.6285266045450421,0.6273878692669708,0.631134500061192,0.6015625,0.640625,0.68359375
637,4705639,0.632831690976814,0.6273878692669708,0.6289315873210133,0.603515625,0.626953125,0.654296875
650,4801753,0.6268367310606373,0.6268367310606373,0.6346836372537021,0.603515625,0.626953125,0.671875
664,4904109,0.6307097893769498,0.6268367310606373,0.6250152980051401,0.58203125,0.576171875,0.650390625
677,5001233,0.6239943324424452,0.6239943324424452,0.631134500061192,0.607421875,0.64453125,0.673828125
691,5105496,0.6248338199981408,0.6239943324424452,0.6301554277322238,0.58984375,0.650390625,0.66015625
704,5201426,0.6216276878936247,0.6216276878936247,0.6262391384163505,0.578125,0.63671875,0.70703125
718,5305378,0.6181855412787541,0.6181855412787541,0.6356627095826705,0.62109375,0.64453125,0.6875
731,5400633,0.6178942431781586,0.6178942431781586,0.6339493330069759,0.603515625,0.626953125,0.68359375
745,5503600,0.6189444758651773,0.6178942431781586,0.6257496022518664,0.607421875,0.634765625,0.689453125
759,5607239,0.6161598976308954,0.6161598976308954,0.6296658915677396,0.60546875,0.625,0.685546875
772,5702901,0.6140052864963802,0.6140052864963802,0.6327254925957655,0.595703125,0.630859375,0.68359375
786,5807444,0.6138120783786305,0.6138120783786305,0.6277077469098029,0.59765625,0.642578125,0.69921875
799,5902164,0.6125818404768325,0.6125818404768325,0.6261167543752295,0.603515625,0.638671875,0.6953125
813,6006632,0.6146362494951311,0.6125818404768325,0.6313792681434341,0.607421875,0.658203125,0.703125
826,6102350,0.6084684795934696,0.6084684795934696,0.6299106596499816,0.572265625,0.634765625,0.685546875
